State,Transaction_year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,latitude,longitude
andhra-pradesh,2018,2,chittoor,1185723,1990419126,15.9129,79.739987
andhra-pradesh,2018,2,guntur,1088101,2108475812,15.9129,79.739987
andhra-pradesh,2018,2,kurnool,968439,1531888666,15.9129,79.739987
andhra-pradesh,2018,2,anantapur,937023,1690366079,15.9129,79.739987
andhra-pradesh,2018,2,west godavari,786033,1688025212,15.9129,79.739987
andhra-pradesh,2018,2,spsr nellore,780454,1542057934,15.9129,79.739987
andhra-pradesh,2018,2,prakasam,739991,1571167562,15.9129,79.739987
andhra-pradesh,2018,3,visakhapatnam,3394576,4821892253,15.9129,79.739987
andhra-pradesh,2018,3,east godavari,3226907,3551247095,15.9129,79.739987
andhra-pradesh,2018,3,kurnool,2921189,2908389262,15.9129,79.739987
andhra-pradesh,2018,3,krishna,2396934,3754202654,15.9129,79.739987
andhra-pradesh,2018,3,chittoor,2297429,3283517631,15.9129,79.739987
andhra-pradesh,2018,3,guntur,1912529,3127764663,15.9129,79.739987
andhra-pradesh,2018,3,anantapur,1815215,2681787750,15.9129,79.739987
andhra-pradesh,2018,3,ysr,1557444,2235904512,15.9129,79.739987
andhra-pradesh,2018,3,west godavari,1431282,2309078493,15.9129,79.739987
andhra-pradesh,2018,3,prakasam,1319651,2346453445,15.9129,79.739987
andhra-pradesh,2018,4,visakhapatnam,4791421,7366635865,15.9129,79.739987
andhra-pradesh,2018,4,chittoor,3166201,4979093890,15.9129,79.739987
andhra-pradesh,2018,4,east godavari,3052762,4652624623,15.9129,79.739987
andhra-pradesh,2018,4,krishna,2839161,5416251838,15.9129,79.739987
andhra-pradesh,2018,4,guntur,2546620,4730251218,15.9129,79.739987
andhra-pradesh,2018,4,kurnool,2508530,3626544852,15.9129,79.739987
andhra-pradesh,2018,4,anantapur,2286391,3975878156,15.9129,79.739987
andhra-pradesh,2018,4,spsr nellore,1814997,3293448557,15.9129,79.739987
andhra-pradesh,2018,4,ysr,1732527,3252340063,15.9129,79.739987
andhra-pradesh,2018,4,prakasam,1692862,3255254226,15.9129,79.739987
andhra-pradesh,2019,1,visakhapatnam,9690866,13459857441,15.9129,79.739987
andhra-pradesh,2019,1,chittoor,6486813,8223371732,15.9129,79.739987
andhra-pradesh,2019,1,krishna,5443981,9061346433,15.9129,79.739987
andhra-pradesh,2019,1,east godavari,5440146,7382264725,15.9129,79.739987
andhra-pradesh,2019,1,guntur,4846553,7765934169,15.9129,79.739987
andhra-pradesh,2019,1,kurnool,4193432,5541564893,15.9129,79.739987
andhra-pradesh,2019,1,anantapur,3891336,6044730653,15.9129,79.739987
andhra-pradesh,2019,1,spsr nellore,3333584,5161932216,15.9129,79.739987
andhra-pradesh,2019,1,prakasam,2931081,4807527779,15.9129,79.739987
andhra-pradesh,2019,1,ysr,2852197,4915811594,15.9129,79.739987
andhra-pradesh,2019,2,visakhapatnam,11705738,20797479804,15.9129,79.739987
andhra-pradesh,2019,2,krishna,6428472,13437029116,15.9129,79.739987
andhra-pradesh,2019,2,chittoor,5983308,10982727976,15.9129,79.739987
andhra-pradesh,2019,2,guntur,5005275,10405246943,15.9129,79.739987
andhra-pradesh,2019,2,east godavari,4699261,9116404622,15.9129,79.739987
andhra-pradesh,2019,2,kurnool,3895824,7358285187,15.9129,79.739987
andhra-pradesh,2019,2,anantapur,3578836,7830782361,15.9129,79.739987
andhra-pradesh,2019,2,spsr nellore,3141891,6880873007,15.9129,79.739987
andhra-pradesh,2019,2,prakasam,2670529,6262396448,15.9129,79.739987
andhra-pradesh,2019,2,ysr,2606284,6376856828,15.9129,79.739987
andhra-pradesh,2019,3,visakhapatnam,16694947,26944837120,15.9129,79.739987
andhra-pradesh,2019,3,krishna,8408474,16404073561,15.9129,79.739987
andhra-pradesh,2019,3,chittoor,8201783,13837455759,15.9129,79.739987
andhra-pradesh,2019,3,guntur,6942304,13075661264,15.9129,79.739987
andhra-pradesh,2019,3,east godavari,6537303,11387726471,15.9129,79.739987
andhra-pradesh,2019,3,kurnool,5139134,9025632779,15.9129,79.739987
andhra-pradesh,2019,3,anantapur,4889720,9554081289,15.9129,79.739987
andhra-pradesh,2019,3,spsr nellore,4150195,8256600119,15.9129,79.739987
andhra-pradesh,2019,3,prakasam,3430750,7354502261,15.9129,79.739987
andhra-pradesh,2019,3,ysr,3296586,7447544274,15.9129,79.739987
andhra-pradesh,2019,4,visakhapatnam,23594874,39133296330,15.9129,79.739987
andhra-pradesh,2019,4,krishna,11719402,23039786404,15.9129,79.739987
andhra-pradesh,2019,4,chittoor,11246986,19298476028,15.9129,79.739987
andhra-pradesh,2019,4,guntur,9761330,18565626418,15.9129,79.739987
andhra-pradesh,2019,4,east godavari,9285739,16816774065,15.9129,79.739987
andhra-pradesh,2019,4,kurnool,7001958,13233105729,15.9129,79.739987
andhra-pradesh,2019,4,anantapur,6764112,13887248889,15.9129,79.739987
andhra-pradesh,2019,4,spsr nellore,5877804,11786014089,15.9129,79.739987
andhra-pradesh,2019,4,prakasam,4865473,10604077825,15.9129,79.739987
andhra-pradesh,2019,4,ysr,4793157,10865073856,15.9129,79.739987
andhra-pradesh,2020,1,visakhapatnam,27115031,48809747615,15.9129,79.739987
andhra-pradesh,2020,1,chittoor,13257740,23441848567,15.9129,79.739987
andhra-pradesh,2020,1,krishna,12175289,24481702771,15.9129,79.739987
andhra-pradesh,2020,1,guntur,11493331,22992734621,15.9129,79.739987
andhra-pradesh,2020,1,east godavari,11346242,21854701379,15.9129,79.739987
andhra-pradesh,2020,1,anantapur,8466129,17864325753,15.9129,79.739987
andhra-pradesh,2020,1,kurnool,8246869,17022710312,15.9129,79.739987
andhra-pradesh,2020,1,spsr nellore,7430247,15387829694,15.9129,79.739987
andhra-pradesh,2020,1,prakasam,6318396,14169104765,15.9129,79.739987
andhra-pradesh,2020,1,ysr,6031255,14059924637,15.9129,79.739987
andhra-pradesh,2020,2,visakhapatnam,25300401,48293889917,15.9129,79.739987
andhra-pradesh,2020,2,chittoor,14848197,27361300300,15.9129,79.739987
andhra-pradesh,2020,2,east godavari,13130334,26319906327,15.9129,79.739987
andhra-pradesh,2020,2,krishna,12313709,26964149095,15.9129,79.739987
andhra-pradesh,2020,2,guntur,12308707,27463593608,15.9129,79.739987
andhra-pradesh,2020,2,anantapur,10473739,22094006659,15.9129,79.739987
andhra-pradesh,2020,2,kurnool,9821381,22419372062,15.9129,79.739987
andhra-pradesh,2020,2,spsr nellore,9454274,20665376461,15.9129,79.739987
andhra-pradesh,2020,2,prakasam,8844580,19846026727,15.9129,79.739987
andhra-pradesh,2020,2,ysr,8033609,19597207268,15.9129,79.739987
andhra-pradesh,2020,3,visakhapatnam,34421299,67628440368,15.9129,79.739987
andhra-pradesh,2020,3,chittoor,20501863,42811566246,15.9129,79.739987
andhra-pradesh,2020,3,krishna,19110457,44788458672,15.9129,79.739987
andhra-pradesh,2020,3,east godavari,17972431,39300043805,15.9129,79.739987
andhra-pradesh,2020,3,guntur,17601395,42531195810,15.9129,79.739987
andhra-pradesh,2020,3,spsr nellore,16468209,39128324534,15.9129,79.739987
andhra-pradesh,2020,3,anantapur,14447683,34102037973,15.9129,79.739987
andhra-pradesh,2020,3,kurnool,13243292,32529351107,15.9129,79.739987
andhra-pradesh,2020,3,prakasam,12266310,31221704852,15.9129,79.739987
andhra-pradesh,2020,3,ysr,11934653,32037007334,15.9129,79.739987
andhra-pradesh,2020,4,visakhapatnam,46551467,91879823025,15.9129,79.739987
andhra-pradesh,2020,4,chittoor,29590411,61505711150,15.9129,79.739987
andhra-pradesh,2020,4,krishna,27981050,64461504668,15.9129,79.739987
andhra-pradesh,2020,4,guntur,26136538,60641872021,15.9129,79.739987
andhra-pradesh,2020,4,east godavari,25989490,58732615663,15.9129,79.739987
andhra-pradesh,2020,4,anantapur,20996384,49732610814,15.9129,79.739987
andhra-pradesh,2020,4,spsr nellore,20934374,49115443663,15.9129,79.739987
andhra-pradesh,2020,4,kurnool,18737323,44718203115,15.9129,79.739987
andhra-pradesh,2020,4,prakasam,16176867,41852443494,15.9129,79.739987
andhra-pradesh,2020,4,ysr,15676878,42572974713,15.9129,79.739987
andhra-pradesh,2021,1,visakhapatnam,48248923,95308386038,15.9129,79.739987
andhra-pradesh,2021,1,krishna,29717175,69715406645,15.9129,79.739987
andhra-pradesh,2021,1,chittoor,29342609,60947491847,15.9129,79.739987
andhra-pradesh,2021,1,guntur,27445045,64207987853,15.9129,79.739987
andhra-pradesh,2021,1,east godavari,26190701,60027984988,15.9129,79.739987
andhra-pradesh,2021,1,spsr nellore,22541428,52210333202,15.9129,79.739987
andhra-pradesh,2021,1,anantapur,20102957,48353870395,15.9129,79.739987
andhra-pradesh,2021,1,kurnool,17918524,44941629660,15.9129,79.739987
andhra-pradesh,2021,1,west godavari,16015685,42124030669,15.9129,79.739987
andhra-pradesh,2021,1,ysr,15374473,42570919449,15.9129,79.739987
andhra-pradesh,2021,2,visakhapatnam,54390299,1.14E+11,15.9129,79.739987
