State,Transaction_Year,Quarter,District,RegisteredUsers,latitude,longitude
andhra-pradesh,2018,2,chittoor district,414306,15.9129,79.739987
andhra-pradesh,2018,3,east godavari district,558982,15.9129,79.739987
andhra-pradesh,2018,3,srikakulam district,228456,15.9129,79.739987
andhra-pradesh,2018,3,visakhapatnam district,769096,15.9129,79.739987
andhra-pradesh,2018,3,prakasam district,314899,15.9129,79.739987
andhra-pradesh,2018,3,anantapur district,405855,15.9129,79.739987
andhra-pradesh,2018,3,kurnool district,394311,15.9129,79.739987
andhra-pradesh,2018,3,guntur district,518931,15.9129,79.739987
andhra-pradesh,2018,3,krishna district,537086,15.9129,79.739987
andhra-pradesh,2018,3,spsr nellore district,322446,15.9129,79.739987
andhra-pradesh,2018,3,vizianagaram district,203655,15.9129,79.739987
andhra-pradesh,2018,3,ysr district,308391,15.9129,79.739987
andhra-pradesh,2018,3,west godavari district,349782,15.9129,79.739987
andhra-pradesh,2018,3,chittoor district,515727,15.9129,79.739987
andhra-pradesh,2018,4,east godavari district,694455,15.9129,79.739987
andhra-pradesh,2018,4,srikakulam district,284874,15.9129,79.739987
andhra-pradesh,2018,4,visakhapatnam district,978288,15.9129,79.739987
andhra-pradesh,2018,4,prakasam district,394962,15.9129,79.739987
andhra-pradesh,2018,4,anantapur district,510892,15.9129,79.739987
andhra-pradesh,2018,4,kurnool district,498582,15.9129,79.739987
andhra-pradesh,2018,4,guntur district,659552,15.9129,79.739987
andhra-pradesh,2018,4,krishna district,682479,15.9129,79.739987
andhra-pradesh,2018,4,spsr nellore district,407495,15.9129,79.739987
andhra-pradesh,2018,4,vizianagaram district,257824,15.9129,79.739987
andhra-pradesh,2018,4,ysr district,387058,15.9129,79.739987
andhra-pradesh,2018,4,west godavari district,435668,15.9129,79.739987
andhra-pradesh,2018,4,chittoor district,665280,15.9129,79.739987
andhra-pradesh,2019,1,east godavari district,839277,15.9129,79.739987
andhra-pradesh,2019,1,srikakulam district,345775,15.9129,79.739987
andhra-pradesh,2019,1,visakhapatnam district,1174517,15.9129,79.739987
andhra-pradesh,2019,1,prakasam district,474260,15.9129,79.739987
andhra-pradesh,2019,1,anantapur district,612162,15.9129,79.739987
andhra-pradesh,2019,1,kurnool district,599422,15.9129,79.739987
andhra-pradesh,2019,1,guntur district,802394,15.9129,79.739987
andhra-pradesh,2019,1,krishna district,833694,15.9129,79.739987
andhra-pradesh,2019,1,spsr nellore district,491908,15.9129,79.739987
andhra-pradesh,2019,1,vizianagaram district,313334,15.9129,79.739987
andhra-pradesh,2019,1,ysr district,460590,15.9129,79.739987
andhra-pradesh,2019,1,west godavari district,523372,15.9129,79.739987
andhra-pradesh,2019,1,chittoor district,812314,15.9129,79.739987
andhra-pradesh,2019,2,east godavari district,945181,15.9129,79.739987
andhra-pradesh,2019,2,srikakulam district,392764,15.9129,79.739987
andhra-pradesh,2019,2,visakhapatnam district,1318740,15.9129,79.739987
andhra-pradesh,2019,2,prakasam district,539462,15.9129,79.739987
andhra-pradesh,2019,2,anantapur district,695114,15.9129,79.739987
andhra-pradesh,2019,2,kurnool district,680118,15.9129,79.739987
andhra-pradesh,2019,2,guntur district,915256,15.9129,79.739987
andhra-pradesh,2019,2,krishna district,952300,15.9129,79.739987
andhra-pradesh,2019,2,spsr nellore district,558303,15.9129,79.739987
andhra-pradesh,2019,2,vizianagaram district,355058,15.9129,79.739987
andhra-pradesh,2019,2,ysr district,519031,15.9129,79.739987
andhra-pradesh,2019,2,west godavari district,592185,15.9129,79.739987
andhra-pradesh,2019,2,chittoor district,925491,15.9129,79.739987
andhra-pradesh,2019,3,east godavari district,1057167,15.9129,79.739987
andhra-pradesh,2019,3,srikakulam district,437939,15.9129,79.739987
andhra-pradesh,2019,3,visakhapatnam district,1460464,15.9129,79.739987
andhra-pradesh,2019,3,prakasam district,598568,15.9129,79.739987
andhra-pradesh,2019,3,anantapur district,773656,15.9129,79.739987
andhra-pradesh,2019,3,kurnool district,755024,15.9129,79.739987
andhra-pradesh,2019,3,guntur district,1026418,15.9129,79.739987
andhra-pradesh,2019,3,krishna district,1066546,15.9129,79.739987
andhra-pradesh,2019,3,spsr nellore district,619592,15.9129,79.739987
andhra-pradesh,2019,3,vizianagaram district,394375,15.9129,79.739987
andhra-pradesh,2019,3,ysr district,574109,15.9129,79.739987
andhra-pradesh,2019,3,west godavari district,662102,15.9129,79.739987
andhra-pradesh,2019,3,chittoor district,1032733,15.9129,79.739987
andhra-pradesh,2019,4,east godavari district,1195228,15.9129,79.739987
andhra-pradesh,2019,4,srikakulam district,496266,15.9129,79.739987
andhra-pradesh,2019,4,visakhapatnam district,1620235,15.9129,79.739987
andhra-pradesh,2019,4,prakasam district,673522,15.9129,79.739987
andhra-pradesh,2019,4,anantapur district,873033,15.9129,79.739987
andhra-pradesh,2019,4,kurnool district,846885,15.9129,79.739987
andhra-pradesh,2019,4,guntur district,1158708,15.9129,79.739987
andhra-pradesh,2019,4,krishna district,1199971,15.9129,79.739987
andhra-pradesh,2019,4,spsr nellore district,697154,15.9129,79.739987
andhra-pradesh,2019,4,vizianagaram district,443810,15.9129,79.739987
andhra-pradesh,2019,4,ysr district,646642,15.9129,79.739987
andhra-pradesh,2019,4,west godavari district,750078,15.9129,79.739987
andhra-pradesh,2019,4,chittoor district,1156351,15.9129,79.739987
andhra-pradesh,2020,1,east godavari district,1329664,15.9129,79.739987
andhra-pradesh,2020,1,srikakulam district,552007,15.9129,79.739987
andhra-pradesh,2020,1,visakhapatnam district,1763581,15.9129,79.739987
andhra-pradesh,2020,1,prakasam district,748655,15.9129,79.739987
andhra-pradesh,2020,1,anantapur district,971850,15.9129,79.739987
andhra-pradesh,2020,1,kurnool district,936293,15.9129,79.739987
andhra-pradesh,2020,1,guntur district,1289678,15.9129,79.739987
andhra-pradesh,2020,1,krishna district,1331602,15.9129,79.739987
andhra-pradesh,2020,1,spsr nellore district,775440,15.9129,79.739987
andhra-pradesh,2020,1,vizianagaram district,490683,15.9129,79.739987
andhra-pradesh,2020,1,ysr district,717865,15.9129,79.739987
andhra-pradesh,2020,1,west godavari district,843835,15.9129,79.739987
andhra-pradesh,2020,1,chittoor district,1270907,15.9129,79.739987
andhra-pradesh,2020,2,east godavari district,1459116,15.9129,79.739987
andhra-pradesh,2020,2,srikakulam district,608002,15.9129,79.739987
andhra-pradesh,2020,2,visakhapatnam district,1904719,15.9129,79.739987
andhra-pradesh,2020,2,prakasam district,830709,15.9129,79.739987
andhra-pradesh,2020,2,anantapur district,1076953,15.9129,79.739987
andhra-pradesh,2020,2,kurnool district,1035093,15.9129,79.739987
andhra-pradesh,2020,2,guntur district,1426271,15.9129,79.739987
andhra-pradesh,2020,2,krishna district,1459041,15.9129,79.739987
andhra-pradesh,2020,2,spsr nellore district,854459,15.9129,79.739987
andhra-pradesh,2020,2,vizianagaram district,537798,15.9129,79.739987
andhra-pradesh,2020,2,ysr district,796769,15.9129,79.739987
andhra-pradesh,2020,2,west godavari district,944829,15.9129,79.739987
andhra-pradesh,2020,2,chittoor district,1385916,15.9129,79.739987
andhra-pradesh,2020,3,east godavari district,1601940,15.9129,79.739987
andhra-pradesh,2020,3,srikakulam district,667858,15.9129,79.739987
andhra-pradesh,2020,3,visakhapatnam district,2058346,15.9129,79.739987
andhra-pradesh,2020,3,prakasam district,915240,15.9129,79.739987
andhra-pradesh,2020,3,anantapur district,1186851,15.9129,79.739987
andhra-pradesh,2020,3,kurnool district,1132240,15.9129,79.739987
andhra-pradesh,2020,3,guntur district,1567595,15.9129,79.739987
andhra-pradesh,2020,3,krishna district,1599289,15.9129,79.739987
andhra-pradesh,2020,3,spsr nellore district,937176,15.9129,79.739987
andhra-pradesh,2020,3,vizianagaram district,587784,15.9129,79.739987
andhra-pradesh,2020,3,ysr district,877909,15.9129,79.739987
andhra-pradesh,2020,3,west godavari district,1053674,15.9129,79.739987
andhra-pradesh,2020,3,chittoor district,1506503,15.9129,79.739987
andhra-pradesh,2020,4,east godavari district,1746280,15.9129,79.739987
andhra-pradesh,2020,4,srikakulam district,726761,15.9129,79.739987
andhra-pradesh,2020,4,visakhapatnam district,2209658,15.9129,79.739987
andhra-pradesh,2020,4,prakasam district,999462,15.9129,79.739987
andhra-pradesh,2020,4,anantapur district,1295872,15.9129,79.739987
andhra-pradesh,2020,4,kurnool district,1230466,15.9129,79.739987
andhra-pradesh,2020,4,guntur district,1712940,15.9129,79.739987
andhra-pradesh,2020,4,krishna district,1744028,15.9129,79.739987
andhra-pradesh,2020,4,spsr nellore district,1022944,15.9129,79.739987
andhra-pradesh,2020,4,vizianagaram district,634462,15.9129,79.739987
andhra-pradesh,2020,4,ysr district,959182,15.9129,79.739987
andhra-pradesh,2020,4,west godavari district,1163179,15.9129,79.739987
andhra-pradesh,2020,4,chittoor district,1631331,15.9129,79.739987
andhra-pradesh,2021,1,east godavari district,1878769,15.9129,79.739987
andhra-pradesh,2021,1,srikakulam district,782604,15.9129,79.739987
andhra-pradesh,2021,1,visakhapatnam district,2368081,15.9129,79.739987
andhra-pradesh,2021,1,prakasam district,1075936,15.9129,79.739987
andhra-pradesh,2021,1,anantapur district,1394849,15.9129,79.739987
andhra-pradesh,2021,1,kurnool district,1323411,15.9129,79.739987
andhra-pradesh,2021,1,guntur district,1843237,15.9129,79.739987
andhra-pradesh,2021,1,krishna district,1876458,15.9129,79.739987
andhra-pradesh,2021,1,spsr nellore district,1100541,15.9129,79.739987
andhra-pradesh,2021,1,vizianagaram district,681621,15.9129,79.739987
andhra-pradesh,2021,1,ysr district,1032689,15.9129,79.739987
andhra-pradesh,2021,1,west godavari district,1254117,15.9129,79.739987
andhra-pradesh,2021,1,chittoor district,1751420,15.9129,79.739987
andhra-pradesh,2021,2,east godavari district,2006272,15.9129,79.739987
andhra-pradesh,2021,2,srikakulam district,837958,15.9129,79.739987
andhra-pradesh,2021,2,visakhapatnam district,2526830,15.9129,79.739987
andhra-pradesh,2021,2,prakasam district,1151232,15.9129,79.739987
andhra-pradesh,2021,2,anantapur district,1492738,15.9129,79.739987
andhra-pradesh,2021,2,kurnool district,1415585,15.9129,79.739987
andhra-pradesh,2021,2,guntur district,1968681,15.9129,79.739987
andhra-pradesh,2021,2,krishna district,2002662,15.9129,79.739987
andhra-pradesh,2021,2,spsr nellore district,1176334,15.9129,79.739987
andhra-pradesh,2021,2,vizianagaram district,729509,15.9129,79.739987
andhra-pradesh,2021,2,ysr district,1103004,15.9129,79.739987
andhra-pradesh,2021,2,west godavari district,1339377,15.9129,79.739987
andhra-pradesh,2021,2,chittoor district,1870723,15.9129,79.739987
andhra-pradesh,2021,3,east godavari district,2150622,15.9129,79.739987
andhra-pradesh,2021,3,srikakulam district,902008,15.9129,79.739987
andhra-pradesh,2021,3,visakhapatnam district,2707931,15.9129,79.739987
andhra-pradesh,2021,3,prakasam district,1239147,15.9129,79.739987
andhra-pradesh,2021,3,anantapur district,1606735,15.9129,79.739987
andhra-pradesh,2021,3,kurnool district,1522196,15.9129,79.739987
andhra-pradesh,2021,3,guntur district,2110878,15.9129,79.739987
andhra-pradesh,2021,3,krishna district,2145423,15.9129,79.739987
andhra-pradesh,2021,3,spsr nellore district,1263550,15.9129,79.739987
andhra-pradesh,2021,3,vizianagaram district,784444,15.9129,79.739987
andhra-pradesh,2021,3,ysr district,1183377,15.9129,79.739987
andhra-pradesh,2021,3,west godavari district,1436576,15.9129,79.739987
andhra-pradesh,2021,3,chittoor district,2007011,15.9129,79.739987
andhra-pradesh,2021,4,east godavari district,2294347,15.9129,79.739987
andhra-pradesh,2021,4,srikakulam district,965335,15.9129,79.739987
andhra-pradesh,2021,4,visakhapatnam district,2888774,15.9129,79.739987
andhra-pradesh,2021,4,prakasam district,1325728,15.9129,79.739987
andhra-pradesh,2021,4,anantapur district,1719437,15.9129,79.739987
andhra-pradesh,2021,4,kurnool district,1628242,15.9129,79.739987
andhra-pradesh,2021,4,guntur district,2252443,15.9129,79.739987
andhra-pradesh,2021,4,krishna district,2288148,15.9129,79.739987
andhra-pradesh,2021,4,spsr nellore district,1349290,15.9129,79.739987
andhra-pradesh,2021,4,vizianagaram district,839606,15.9129,79.739987
andhra-pradesh,2021,4,ysr district,1262963,15.9129,79.739987
andhra-pradesh,2021,4,west godavari district,1532898,15.9129,79.739987
andhra-pradesh,2021,4,chittoor district,2141818,15.9129,79.739987
andhra-pradesh,2022,1,east godavari district,2432305,15.9129,79.739987
andhra-pradesh,2022,1,srikakulam district,1027283,15.9129,79.739987
andhra-pradesh,2022,1,visakhapatnam district,3061324,15.9129,79.739987
andhra-pradesh,2022,1,prakasam district,1408929,15.9129,79.739987
andhra-pradesh,2022,1,anantapur district,1827094,15.9129,79.739987
andhra-pradesh,2022,1,kurnool district,1729513,15.9129,79.739987
andhra-pradesh,2022,1,guntur district,2387051,15.9129,79.739987
andhra-pradesh,2022,1,krishna district,2423373,15.9129,79.739987
andhra-pradesh,2022,1,spsr nellore district,1431664,15.9129,79.739987
andhra-pradesh,2022,1,vizianagaram district,892889,15.9129,79.739987
andhra-pradesh,2022,1,ysr district,1339782,15.9129,79.739987
andhra-pradesh,2022,1,west godavari district,1626039,15.9129,79.739987
andhra-pradesh,2022,1,chittoor district,2270705,15.9129,79.739987
andhra-pradesh,2022,2,east godavari district,2564165,15.9129,79.739987
andhra-pradesh,2022,2,srikakulam district,1086164,15.9129,79.739987
andhra-pradesh,2022,2,visakhapatnam district,3226029,15.9129,79.739987
andhra-pradesh,2022,2,prakasam district,1487589,15.9129,79.739987
andhra-pradesh,2022,2,anantapur district,1928213,15.9129,79.739987
andhra-pradesh,2022,2,kurnool district,1825280,15.9129,79.739987
andhra-pradesh,2022,2,guntur district,2514794,15.9129,79.739987
andhra-pradesh,2022,2,krishna district,2552107,15.9129,79.739987
andhra-pradesh,2022,2,spsr nellore district,1509927,15.9129,79.739987
andhra-pradesh,2022,2,vizianagaram district,943242,15.9129,79.739987
andhra-pradesh,2022,2,ysr district,1412848,15.9129,79.739987
andhra-pradesh,2022,2,west godavari district,1714357,15.9129,79.739987
andhra-pradesh,2022,2,chittoor district,2392549,15.9129,79.739987
andhra-pradesh,2022,3,east godavari district,2702234,15.9129,79.739987
andhra-pradesh,2022,3,srikakulam district,1147016,15.9129,79.739987
andhra-pradesh,2022,3,visakhapatnam district,3397514,15.9129,79.739987
andhra-pradesh,2022,3,prakasam district,1567520,15.9129,79.739987
andhra-pradesh,2022,3,anantapur district,2030824,15.9129,79.739987
andhra-pradesh,2022,3,kurnool district,1924127,15.9129,79.739987
andhra-pradesh,2022,3,guntur district,2647100,15.9129,79.739987
andhra-pradesh,2022,3,krishna district,2685215,15.9129,79.739987
andhra-pradesh,2022,3,spsr nellore district,1588875,15.9129,79.739987
andhra-pradesh,2022,3,vizianagaram district,995141,15.9129,79.739987
andhra-pradesh,2022,3,ysr district,1487140,15.9129,79.739987
andhra-pradesh,2022,3,west godavari district,1805967,15.9129,79.739987
andhra-pradesh,2022,3,chittoor district,2517657,15.9129,79.739987
andhra-pradesh,2022,4,east godavari district,2835087,15.9129,79.739987
andhra-pradesh,2022,4,srikakulam district,1204785,15.9129,79.739987
andhra-pradesh,2022,4,visakhapatnam district,3566854,15.9129,79.739987
andhra-pradesh,2022,4,prakasam district,1642503,15.9129,79.739987
andhra-pradesh,2022,4,anantapur district,2128066,15.9129,79.739987
andhra-pradesh,2022,4,kurnool district,2018290,15.9129,79.739987
andhra-pradesh,2022,4,guntur district,2774365,15.9129,79.739987
andhra-pradesh,2022,4,krishna district,2813645,15.9129,79.739987
andhra-pradesh,2022,4,spsr nellore district,1663684,15.9129,79.739987
andhra-pradesh,2022,4,vizianagaram district,1044490,15.9129,79.739987
andhra-pradesh,2022,4,ysr district,1556901,15.9129,79.739987
andhra-pradesh,2022,4,west godavari district,1893310,15.9129,79.739987
