State,Transaction_Year,Quarter,District,RegisteredUsers,latitude,longitude
himachal-pradesh,2022,2,kullu district,148844,31.104829,77.17339
himachal-pradesh,2022,2,mandi district,260233,31.104829,77.17339
himachal-pradesh,2022,2,lahul and spiti district,5657,31.104829,77.17339
himachal-pradesh,2022,2,chamba district,109087,31.104829,77.17339
himachal-pradesh,2022,2,kinnaur district,29878,31.104829,77.17339
himachal-pradesh,2022,3,solan district,457393,31.104829,77.17339
himachal-pradesh,2022,3,sirmaur district,171743,31.104829,77.17339
himachal-pradesh,2022,3,shimla district,296508,31.104829,77.17339
himachal-pradesh,2022,3,bilaspur district,115654,31.104829,77.17339
himachal-pradesh,2022,3,hamirpur district,160759,31.104829,77.17339
himachal-pradesh,2022,3,una district,148148,31.104829,77.17339
himachal-pradesh,2022,3,kangra district,449619,31.104829,77.17339
himachal-pradesh,2022,3,kullu district,156387,31.104829,77.17339
himachal-pradesh,2022,3,mandi district,273475,31.104829,77.17339
himachal-pradesh,2022,3,lahul and spiti district,5900,31.104829,77.17339
himachal-pradesh,2022,3,chamba district,114576,31.104829,77.17339
himachal-pradesh,2022,3,kinnaur district,31414,31.104829,77.17339
himachal-pradesh,2022,4,solan district,479537,31.104829,77.17339
himachal-pradesh,2022,4,sirmaur district,179223,31.104829,77.17339
himachal-pradesh,2022,4,shimla district,308448,31.104829,77.17339
himachal-pradesh,2022,4,bilaspur district,120345,31.104829,77.17339
himachal-pradesh,2022,4,hamirpur district,167686,31.104829,77.17339
himachal-pradesh,2022,4,una district,154314,31.104829,77.17339
himachal-pradesh,2022,4,kangra district,468410,31.104829,77.17339
himachal-pradesh,2022,4,kullu district,162922,31.104829,77.17339
himachal-pradesh,2022,4,mandi district,284425,31.104829,77.17339
himachal-pradesh,2022,4,lahul and spiti district,6057,31.104829,77.17339
himachal-pradesh,2022,4,chamba district,118985,31.104829,77.17339
himachal-pradesh,2022,4,kinnaur district,32724,31.104829,77.17339
jammu-&-kashmir,2018,1,muzaffarabad district,41,33.778175,76.576171
jammu-&-kashmir,2018,1,doda district,2648,33.778175,76.576171
jammu-&-kashmir,2018,1,samba district,6534,33.778175,76.576171
jammu-&-kashmir,2018,1,mirpur district,544,33.778175,76.576171
jammu-&-kashmir,2018,1,srinagar district,18233,33.778175,76.576171
jammu-&-kashmir,2018,1,baramulla district,16299,33.778175,76.576171
jammu-&-kashmir,2018,1,jammu district,45294,33.778175,76.576171
jammu-&-kashmir,2018,1,ganderbal district,4117,33.778175,76.576171
jammu-&-kashmir,2018,1,udhampur district,8457,33.778175,76.576171
jammu-&-kashmir,2018,1,bandipore district,4609,33.778175,76.576171
jammu-&-kashmir,2018,1,reasi district,3583,33.778175,76.576171
jammu-&-kashmir,2018,1,shopian district,2537,33.778175,76.576171
jammu-&-kashmir,2018,1,poonch district,2539,33.778175,76.576171
jammu-&-kashmir,2018,1,kathua district,8039,33.778175,76.576171
jammu-&-kashmir,2018,1,kishtwar district,1298,33.778175,76.576171
jammu-&-kashmir,2018,1,pulwama district,8441,33.778175,76.576171
jammu-&-kashmir,2018,1,ramban district,1876,33.778175,76.576171
jammu-&-kashmir,2018,1,rajouri district,5232,33.778175,76.576171
jammu-&-kashmir,2018,1,kulgam district,5700,33.778175,76.576171
jammu-&-kashmir,2018,1,budgam district,11594,33.778175,76.576171
jammu-&-kashmir,2018,1,anantnag district,11556,33.778175,76.576171
jammu-&-kashmir,2018,1,kupwara district,7254,33.778175,76.576171
jammu-&-kashmir,2018,2,muzaffarabad district,57,33.778175,76.576171
jammu-&-kashmir,2018,2,doda district,4031,33.778175,76.576171
jammu-&-kashmir,2018,2,samba district,9601,33.778175,76.576171
jammu-&-kashmir,2018,2,mirpur district,795,33.778175,76.576171
jammu-&-kashmir,2018,2,srinagar district,27035,33.778175,76.576171
jammu-&-kashmir,2018,2,baramulla district,25870,33.778175,76.576171
jammu-&-kashmir,2018,2,jammu district,64681,33.778175,76.576171
jammu-&-kashmir,2018,2,ganderbal district,6212,33.778175,76.576171
jammu-&-kashmir,2018,2,udhampur district,12195,33.778175,76.576171
jammu-&-kashmir,2018,2,bandipore district,7527,33.778175,76.576171
jammu-&-kashmir,2018,2,reasi district,5168,33.778175,76.576171
jammu-&-kashmir,2018,2,shopian district,3522,33.778175,76.576171
jammu-&-kashmir,2018,2,poonch district,4152,33.778175,76.576171
jammu-&-kashmir,2018,2,kathua district,11778,33.778175,76.576171
jammu-&-kashmir,2018,2,kishtwar district,2006,33.778175,76.576171
jammu-&-kashmir,2018,2,pulwama district,12218,33.778175,76.576171
jammu-&-kashmir,2018,2,ramban district,2925,33.778175,76.576171
jammu-&-kashmir,2018,2,rajouri district,8035,33.778175,76.576171
jammu-&-kashmir,2018,2,kulgam district,8137,33.778175,76.576171
jammu-&-kashmir,2018,2,budgam district,17809,33.778175,76.576171
jammu-&-kashmir,2018,2,anantnag district,16373,33.778175,76.576171
jammu-&-kashmir,2018,2,kupwara district,11482,33.778175,76.576171
jammu-&-kashmir,2018,3,muzaffarabad district,89,33.778175,76.576171
jammu-&-kashmir,2018,3,doda district,5618,33.778175,76.576171
jammu-&-kashmir,2018,3,samba district,13304,33.778175,76.576171
jammu-&-kashmir,2018,3,mirpur district,1133,33.778175,76.576171
jammu-&-kashmir,2018,3,srinagar district,35583,33.778175,76.576171
jammu-&-kashmir,2018,3,baramulla district,31069,33.778175,76.576171
jammu-&-kashmir,2018,3,jammu district,86877,33.778175,76.576171
jammu-&-kashmir,2018,3,ganderbal district,7627,33.778175,76.576171
jammu-&-kashmir,2018,3,udhampur district,16058,33.778175,76.576171
jammu-&-kashmir,2018,3,bandipore district,8792,33.778175,76.576171
jammu-&-kashmir,2018,3,reasi district,7010,33.778175,76.576171
jammu-&-kashmir,2018,3,shopian district,4698,33.778175,76.576171
jammu-&-kashmir,2018,3,poonch district,6243,33.778175,76.576171
jammu-&-kashmir,2018,3,kathua district,15849,33.778175,76.576171
jammu-&-kashmir,2018,3,kishtwar district,2822,33.778175,76.576171
jammu-&-kashmir,2018,3,pulwama district,15427,33.778175,76.576171
jammu-&-kashmir,2018,3,ramban district,4202,33.778175,76.576171
jammu-&-kashmir,2018,3,rajouri district,11534,33.778175,76.576171
jammu-&-kashmir,2018,3,kulgam district,10305,33.778175,76.576171
jammu-&-kashmir,2018,3,budgam district,22301,33.778175,76.576171
jammu-&-kashmir,2018,3,anantnag district,20234,33.778175,76.576171
jammu-&-kashmir,2018,3,kupwara district,15754,33.778175,76.576171
jammu-&-kashmir,2018,4,muzaffarabad district,136,33.778175,76.576171
jammu-&-kashmir,2018,4,doda district,7669,33.778175,76.576171
jammu-&-kashmir,2018,4,samba district,17595,33.778175,76.576171
jammu-&-kashmir,2018,4,mirpur district,1515,33.778175,76.576171
jammu-&-kashmir,2018,4,srinagar district,44328,33.778175,76.576171
jammu-&-kashmir,2018,4,baramulla district,37661,33.778175,76.576171
jammu-&-kashmir,2018,4,jammu district,113005,33.778175,76.576171
jammu-&-kashmir,2018,4,ganderbal district,9327,33.778175,76.576171
jammu-&-kashmir,2018,4,udhampur district,21123,33.778175,76.576171
jammu-&-kashmir,2018,4,bandipore district,10397,33.778175,76.576171
jammu-&-kashmir,2018,4,reasi district,9290,33.778175,76.576171
jammu-&-kashmir,2018,4,shopian district,5919,33.778175,76.576171
jammu-&-kashmir,2018,4,poonch district,8555,33.778175,76.576171
jammu-&-kashmir,2018,4,kathua district,21030,33.778175,76.576171
jammu-&-kashmir,2018,4,kishtwar district,3753,33.778175,76.576171
jammu-&-kashmir,2018,4,pulwama district,18846,33.778175,76.576171
jammu-&-kashmir,2018,4,ramban district,5615,33.778175,76.576171
jammu-&-kashmir,2018,4,rajouri district,15661,33.778175,76.576171
jammu-&-kashmir,2018,4,kulgam district,12488,33.778175,76.576171
jammu-&-kashmir,2018,4,budgam district,27710,33.778175,76.576171
jammu-&-kashmir,2018,4,anantnag district,24448,33.778175,76.576171
jammu-&-kashmir,2018,4,kupwara district,20492,33.778175,76.576171
jammu-&-kashmir,2019,1,muzaffarabad district,170,33.778175,76.576171
jammu-&-kashmir,2019,1,doda district,9896,33.778175,76.576171
jammu-&-kashmir,2019,1,samba district,21495,33.778175,76.576171
jammu-&-kashmir,2019,1,mirpur district,1891,33.778175,76.576171
jammu-&-kashmir,2019,1,srinagar district,52762,33.778175,76.576171
jammu-&-kashmir,2019,1,baramulla district,45150,33.778175,76.576171
jammu-&-kashmir,2019,1,jammu district,134408,33.778175,76.576171
jammu-&-kashmir,2019,1,ganderbal district,11236,33.778175,76.576171
jammu-&-kashmir,2019,1,udhampur district,25515,33.778175,76.576171
jammu-&-kashmir,2019,1,bandipore district,12419,33.778175,76.576171
jammu-&-kashmir,2019,1,reasi district,11440,33.778175,76.576171
jammu-&-kashmir,2019,1,shopian district,7625,33.778175,76.576171
jammu-&-kashmir,2019,1,poonch district,10838,33.778175,76.576171
jammu-&-kashmir,2019,1,kathua district,25620,33.778175,76.576171
jammu-&-kashmir,2019,1,kishtwar district,4732,33.778175,76.576171
jammu-&-kashmir,2019,1,pulwama district,23230,33.778175,76.576171
jammu-&-kashmir,2019,1,ramban district,7125,33.778175,76.576171
jammu-&-kashmir,2019,1,rajouri district,19212,33.778175,76.576171
jammu-&-kashmir,2019,1,kulgam district,16003,33.778175,76.576171
jammu-&-kashmir,2019,1,budgam district,34255,33.778175,76.576171
jammu-&-kashmir,2019,1,anantnag district,30103,33.778175,76.576171
jammu-&-kashmir,2019,1,kupwara district,25544,33.778175,76.576171
jammu-&-kashmir,2019,2,muzaffarabad district,216,33.778175,76.576171
jammu-&-kashmir,2019,2,doda district,12220,33.778175,76.576171
jammu-&-kashmir,2019,2,samba district,25990,33.778175,76.576171
jammu-&-kashmir,2019,2,mirpur district,2250,33.778175,76.576171
jammu-&-kashmir,2019,2,srinagar district,62190,33.778175,76.576171
jammu-&-kashmir,2019,2,baramulla district,53196,33.778175,76.576171
jammu-&-kashmir,2019,2,jammu district,160241,33.778175,76.576171
jammu-&-kashmir,2019,2,ganderbal district,13224,33.778175,76.576171
jammu-&-kashmir,2019,2,udhampur district,29856,33.778175,76.576171
jammu-&-kashmir,2019,2,bandipore district,14951,33.778175,76.576171
jammu-&-kashmir,2019,2,reasi district,13784,33.778175,76.576171
jammu-&-kashmir,2019,2,shopian district,8946,33.778175,76.576171
jammu-&-kashmir,2019,2,poonch district,13450,33.778175,76.576171
jammu-&-kashmir,2019,2,kathua district,30602,33.778175,76.576171
jammu-&-kashmir,2019,2,kishtwar district,6001,33.778175,76.576171
jammu-&-kashmir,2019,2,pulwama district,27167,33.778175,76.576171
jammu-&-kashmir,2019,2,ramban district,8694,33.778175,76.576171
jammu-&-kashmir,2019,2,rajouri district,23118,33.778175,76.576171
jammu-&-kashmir,2019,2,kulgam district,18853,33.778175,76.576171
jammu-&-kashmir,2019,2,budgam district,39965,33.778175,76.576171
jammu-&-kashmir,2019,2,anantnag district,35488,33.778175,76.576171
jammu-&-kashmir,2019,2,kupwara district,30791,33.778175,76.576171
jammu-&-kashmir,2019,3,muzaffarabad district,207,33.778175,76.576171
jammu-&-kashmir,2019,3,doda district,12682,33.778175,76.576171
jammu-&-kashmir,2019,3,samba district,27579,33.778175,76.576171
jammu-&-kashmir,2019,3,mirpur district,2372,33.778175,76.576171
jammu-&-kashmir,2019,3,srinagar district,64758,33.778175,76.576171
jammu-&-kashmir,2019,3,baramulla district,54404,33.778175,76.576171
jammu-&-kashmir,2019,3,jammu district,169849,33.778175,76.576171
jammu-&-kashmir,2019,3,ganderbal district,13453,33.778175,76.576171
jammu-&-kashmir,2019,3,udhampur district,31297,33.778175,76.576171
jammu-&-kashmir,2019,3,bandipore district,15313,33.778175,76.576171
jammu-&-kashmir,2019,3,reasi district,14489,33.778175,76.576171
jammu-&-kashmir,2019,3,shopian district,9142,33.778175,76.576171
jammu-&-kashmir,2019,3,poonch district,14139,33.778175,76.576171
jammu-&-kashmir,2019,3,kathua district,32213,33.778175,76.576171
jammu-&-kashmir,2019,3,kishtwar district,6229,33.778175,76.576171
jammu-&-kashmir,2019,3,pulwama district,27963,33.778175,76.576171
jammu-&-kashmir,2019,3,ramban district,9065,33.778175,76.576171
jammu-&-kashmir,2019,3,rajouri district,24275,33.778175,76.576171
jammu-&-kashmir,2019,3,kulgam district,19220,33.778175,76.576171
jammu-&-kashmir,2019,3,budgam district,41004,33.778175,76.576171
jammu-&-kashmir,2019,3,anantnag district,36371,33.778175,76.576171
jammu-&-kashmir,2019,3,kupwara district,32431,33.778175,76.576171
jammu-&-kashmir,2019,4,muzaffarabad district,223,33.778175,76.576171
jammu-&-kashmir,2019,4,doda district,13016,33.778175,76.576171
jammu-&-kashmir,2019,4,samba district,28333,33.778175,76.576171
jammu-&-kashmir,2019,4,mirpur district,2521,33.778175,76.576171
jammu-&-kashmir,2019,4,srinagar district,65611,33.778175,76.576171
jammu-&-kashmir,2019,4,baramulla district,55042,33.778175,76.576171
jammu-&-kashmir,2019,4,jammu district,174858,33.778175,76.576171
jammu-&-kashmir,2019,4,ganderbal district,13506,33.778175,76.576171
jammu-&-kashmir,2019,4,udhampur district,32252,33.778175,76.576171
jammu-&-kashmir,2019,4,bandipore district,15366,33.778175,76.576171
jammu-&-kashmir,2019,4,reasi district,15021,33.778175,76.576171
jammu-&-kashmir,2019,4,shopian district,9308,33.778175,76.576171
jammu-&-kashmir,2019,4,poonch district,14810,33.778175,76.576171
jammu-&-kashmir,2019,4,kathua district,33481,33.778175,76.576171
jammu-&-kashmir,2019,4,kishtwar district,6397,33.778175,76.576171
jammu-&-kashmir,2019,4,pulwama district,28336,33.778175,76.576171
jammu-&-kashmir,2019,4,ramban district,9304,33.778175,76.576171
jammu-&-kashmir,2019,4,rajouri district,25297,33.778175,76.576171
jammu-&-kashmir,2019,4,kulgam district,19304,33.778175,76.576171
jammu-&-kashmir,2019,4,budgam district,41377,33.778175,76.576171
jammu-&-kashmir,2019,4,anantnag district,36725,33.778175,76.576171
jammu-&-kashmir,2019,4,kupwara district,33279,33.778175,76.576171
jammu-&-kashmir,2020,1,muzaffarabad district,240,33.778175,76.576171
jammu-&-kashmir,2020,1,doda district,14537,33.778175,76.576171
jammu-&-kashmir,2020,1,samba district,31570,33.778175,76.576171
jammu-&-kashmir,2020,1,mirpur district,2835,33.778175,76.576171
jammu-&-kashmir,2020,1,srinagar district,70755,33.778175,76.576171
jammu-&-kashmir,2020,1,baramulla district,59123,33.778175,76.576171
jammu-&-kashmir,2020,1,jammu district,191031,33.778175,76.576171
jammu-&-kashmir,2020,1,ganderbal district,14573,33.778175,76.576171
jammu-&-kashmir,2020,1,udhampur district,35408,33.778175,76.576171
jammu-&-kashmir,2020,1,bandipore district,16451,33.778175,76.576171
jammu-&-kashmir,2020,1,reasi district,16592,33.778175,76.576171
jammu-&-kashmir,2020,1,shopian district,10313,33.778175,76.576171
jammu-&-kashmir,2020,1,poonch district,16495,33.778175,76.576171
jammu-&-kashmir,2020,1,kathua district,37300,33.778175,76.576171
jammu-&-kashmir,2020,1,kishtwar district,7124,33.778175,76.576171
jammu-&-kashmir,2020,1,pulwama district,30796,33.778175,76.576171
jammu-&-kashmir,2020,1,ramban district,10267,33.778175,76.576171
jammu-&-kashmir,2020,1,rajouri district,28089,33.778175,76.576171
jammu-&-kashmir,2020,1,kulgam district,21070,33.778175,76.576171
jammu-&-kashmir,2020,1,budgam district,44636,33.778175,76.576171
jammu-&-kashmir,2020,1,anantnag district,39513,33.778175,76.576171
jammu-&-kashmir,2020,1,kupwara district,36690,33.778175,76.576171
jammu-&-kashmir,2020,2,muzaffarabad district,266,33.778175,76.576171
jammu-&-kashmir,2020,2,doda district,17896,33.778175,76.576171
jammu-&-kashmir,2020,2,samba district,37600,33.778175,76.576171
jammu-&-kashmir,2020,2,mirpur district,3522,33.778175,76.576171
jammu-&-kashmir,2020,2,srinagar district,78458,33.778175,76.576171
jammu-&-kashmir,2020,2,baramulla district,66095,33.778175,76.576171
jammu-&-kashmir,2020,2,jammu district,220805,33.778175,76.576171
jammu-&-kashmir,2020,2,ganderbal district,16213,33.778175,76.576171
jammu-&-kashmir,2020,2,udhampur district,41813,33.778175,76.576171
jammu-&-kashmir,2020,2,bandipore district,18357,33.778175,76.576171
jammu-&-kashmir,2020,2,reasi district,19514,33.778175,76.576171
jammu-&-kashmir,2020,2,shopian district,11870,33.778175,76.576171
jammu-&-kashmir,2020,2,poonch district,19815,33.778175,76.576171
jammu-&-kashmir,2020,2,kathua district,44719,33.778175,76.576171
jammu-&-kashmir,2020,2,kishtwar district,8584,33.778175,76.576171
jammu-&-kashmir,2020,2,pulwama district,34565,33.778175,76.576171
jammu-&-kashmir,2020,2,ramban district,12068,33.778175,76.576171
jammu-&-kashmir,2020,2,rajouri district,33389,33.778175,76.576171
jammu-&-kashmir,2020,2,kulgam district,23505,33.778175,76.576171
jammu-&-kashmir,2020,2,budgam district,49962,33.778175,76.576171
jammu-&-kashmir,2020,2,anantnag district,44423,33.778175,76.576171
jammu-&-kashmir,2020,2,kupwara district,41855,33.778175,76.576171
jammu-&-kashmir,2020,3,muzaffarabad district,304,33.778175,76.576171
jammu-&-kashmir,2020,3,doda district,20833,33.778175,76.576171
jammu-&-kashmir,2020,3,samba district,42915,33.778175,76.576171
jammu-&-kashmir,2020,3,mirpur district,4128,33.778175,76.576171
jammu-&-kashmir,2020,3,srinagar district,87182,33.778175,76.576171
jammu-&-kashmir,2020,3,baramulla district,73162,33.778175,76.576171
jammu-&-kashmir,2020,3,jammu district,248814,33.778175,76.576171
jammu-&-kashmir,2020,3,ganderbal district,18259,33.778175,76.576171
jammu-&-kashmir,2020,3,udhampur district,47399,33.778175,76.576171
jammu-&-kashmir,2020,3,bandipore district,20153,33.778175,76.576171
jammu-&-kashmir,2020,3,reasi district,22063,33.778175,76.576171
jammu-&-kashmir,2020,3,shopian district,13294,33.778175,76.576171
jammu-&-kashmir,2020,3,poonch district,22704,33.778175,76.576171
jammu-&-kashmir,2020,3,kathua district,50914,33.778175,76.576171
jammu-&-kashmir,2020,3,kishtwar district,9745,33.778175,76.576171
jammu-&-kashmir,2020,3,pulwama district,38434,33.778175,76.576171
jammu-&-kashmir,2020,3,ramban district,13674,33.778175,76.576171
jammu-&-kashmir,2020,3,rajouri district,38071,33.778175,76.576171
jammu-&-kashmir,2020,3,kulgam district,25887,33.778175,76.576171
jammu-&-kashmir,2020,3,budgam district,55153,33.778175,76.576171
jammu-&-kashmir,2020,3,anantnag district,49443,33.778175,76.576171
jammu-&-kashmir,2020,3,kupwara district,47288,33.778175,76.576171
jammu-&-kashmir,2020,4,muzaffarabad district,339,33.778175,76.576171
jammu-&-kashmir,2020,4,doda district,24095,33.778175,76.576171
jammu-&-kashmir,2020,4,samba district,48775,33.778175,76.576171
jammu-&-kashmir,2020,4,mirpur district,4799,33.778175,76.576171
jammu-&-kashmir,2020,4,srinagar district,98923,33.778175,76.576171
jammu-&-kashmir,2020,4,baramulla district,83119,33.778175,76.576171
jammu-&-kashmir,2020,4,jammu district,282463,33.778175,76.576171
jammu-&-kashmir,2020,4,ganderbal district,20465,33.778175,76.576171
jammu-&-kashmir,2020,4,udhampur district,53803,33.778175,76.576171
jammu-&-kashmir,2020,4,bandipore district,22721,33.778175,76.576171
jammu-&-kashmir,2020,4,reasi district,25147,33.778175,76.576171
jammu-&-kashmir,2020,4,shopian district,15234,33.778175,76.576171
jammu-&-kashmir,2020,4,poonch district,26045,33.778175,76.576171
jammu-&-kashmir,2020,4,kathua district,57651,33.778175,76.576171
jammu-&-kashmir,2020,4,kishtwar district,11233,33.778175,76.576171
jammu-&-kashmir,2020,4,pulwama district,43139,33.778175,76.576171
jammu-&-kashmir,2020,4,ramban district,15548,33.778175,76.576171
jammu-&-kashmir,2020,4,rajouri district,43240,33.778175,76.576171
jammu-&-kashmir,2020,4,kulgam district,29261,33.778175,76.576171
jammu-&-kashmir,2020,4,budgam district,62364,33.778175,76.576171
jammu-&-kashmir,2020,4,anantnag district,56211,33.778175,76.576171
jammu-&-kashmir,2020,4,kupwara district,54447,33.778175,76.576171
jammu-&-kashmir,2021,1,muzaffarabad district,377,33.778175,76.576171
jammu-&-kashmir,2021,1,doda district,26460,33.778175,76.576171
jammu-&-kashmir,2021,1,samba district,53123,33.778175,76.576171
jammu-&-kashmir,2021,1,mirpur district,5198,33.778175,76.576171
jammu-&-kashmir,2021,1,srinagar district,107147,33.778175,76.576171
jammu-&-kashmir,2021,1,baramulla district,90607,33.778175,76.576171
jammu-&-kashmir,2021,1,jammu district,307670,33.778175,76.576171
jammu-&-kashmir,2021,1,ganderbal district,22249,33.778175,76.576171
jammu-&-kashmir,2021,1,udhampur district,58664,33.778175,76.576171
jammu-&-kashmir,2021,1,bandipore district,24662,33.778175,76.576171
jammu-&-kashmir,2021,1,reasi district,27524,33.778175,76.576171
jammu-&-kashmir,2021,1,shopian district,16657,33.778175,76.576171
jammu-&-kashmir,2021,1,poonch district,28300,33.778175,76.576171
jammu-&-kashmir,2021,1,kathua district,62777,33.778175,76.576171
jammu-&-kashmir,2021,1,kishtwar district,12235,33.778175,76.576171
jammu-&-kashmir,2021,1,pulwama district,46731,33.778175,76.576171
jammu-&-kashmir,2021,1,ramban district,16907,33.778175,76.576171
jammu-&-kashmir,2021,1,rajouri district,47092,33.778175,76.576171
jammu-&-kashmir,2021,1,kulgam district,31882,33.778175,76.576171
jammu-&-kashmir,2021,1,budgam district,67920,33.778175,76.576171
jammu-&-kashmir,2021,1,anantnag district,61151,33.778175,76.576171
jammu-&-kashmir,2021,1,kupwara district,59485,33.778175,76.576171
jammu-&-kashmir,2021,2,muzaffarabad district,416,33.778175,76.576171
jammu-&-kashmir,2021,2,doda district,28542,33.778175,76.576171
jammu-&-kashmir,2021,2,samba district,57066,33.778175,76.576171
jammu-&-kashmir,2021,2,mirpur district,5662,33.778175,76.576171
jammu-&-kashmir,2021,2,srinagar district,114498,33.778175,76.576171
jammu-&-kashmir,2021,2,baramulla district,97258,33.778175,76.576171
jammu-&-kashmir,2021,2,jammu district,329625,33.778175,76.576171
jammu-&-kashmir,2021,2,ganderbal district,23884,33.778175,76.576171
jammu-&-kashmir,2021,2,udhampur district,63296,33.778175,76.576171
jammu-&-kashmir,2021,2,bandipore district,26435,33.778175,76.576171
jammu-&-kashmir,2021,2,reasi district,29716,33.778175,76.576171
jammu-&-kashmir,2021,2,shopian district,17933,33.778175,76.576171
jammu-&-kashmir,2021,2,poonch district,30575,33.778175,76.576171
jammu-&-kashmir,2021,2,kathua district,67569,33.778175,76.576171
jammu-&-kashmir,2021,2,kishtwar district,13206,33.778175,76.576171
jammu-&-kashmir,2021,2,pulwama district,50038,33.778175,76.576171
jammu-&-kashmir,2021,2,ramban district,18253,33.778175,76.576171
jammu-&-kashmir,2021,2,rajouri district,50772,33.778175,76.576171
jammu-&-kashmir,2021,2,kulgam district,34224,33.778175,76.576171
jammu-&-kashmir,2021,2,budgam district,72750,33.778175,76.576171
jammu-&-kashmir,2021,2,anantnag district,65592,33.778175,76.576171
jammu-&-kashmir,2021,2,kupwara district,63957,33.778175,76.576171
jammu-&-kashmir,2021,3,muzaffarabad district,454,33.778175,76.576171
jammu-&-kashmir,2021,3,doda district,30988,33.778175,76.576171
jammu-&-kashmir,2021,3,samba district,61677,33.778175,76.576171
jammu-&-kashmir,2021,3,mirpur district,6201,33.778175,76.576171
jammu-&-kashmir,2021,3,srinagar district,122752,33.778175,76.576171
jammu-&-kashmir,2021,3,baramulla district,104763,33.778175,76.576171
jammu-&-kashmir,2021,3,jammu district,354280,33.778175,76.576171
jammu-&-kashmir,2021,3,ganderbal district,25735,33.778175,76.576171
jammu-&-kashmir,2021,3,udhampur district,68452,33.778175,76.576171
jammu-&-kashmir,2021,3,bandipore district,28469,33.778175,76.576171
jammu-&-kashmir,2021,3,reasi district,32275,33.778175,76.576171
jammu-&-kashmir,2021,3,shopian district,19343,33.778175,76.576171
jammu-&-kashmir,2021,3,poonch district,33277,33.778175,76.576171
jammu-&-kashmir,2021,3,kathua district,73280,33.778175,76.576171
jammu-&-kashmir,2021,3,kishtwar district,14320,33.778175,76.576171
jammu-&-kashmir,2021,3,pulwama district,53876,33.778175,76.576171
jammu-&-kashmir,2021,3,ramban district,19751,33.778175,76.576171
jammu-&-kashmir,2021,3,rajouri district,55013,33.778175,76.576171
jammu-&-kashmir,2021,3,kulgam district,36921,33.778175,76.576171
jammu-&-kashmir,2021,3,budgam district,78298,33.778175,76.576171
jammu-&-kashmir,2021,3,anantnag district,70633,33.778175,76.576171
jammu-&-kashmir,2021,3,kupwara district,69102,33.778175,76.576171
jammu-&-kashmir,2021,4,muzaffarabad district,506,33.778175,76.576171
jammu-&-kashmir,2021,4,doda district,33427,33.778175,76.576171
jammu-&-kashmir,2021,4,samba district,66057,33.778175,76.576171
jammu-&-kashmir,2021,4,mirpur district,6709,33.778175,76.576171
jammu-&-kashmir,2021,4,srinagar district,130968,33.778175,76.576171
jammu-&-kashmir,2021,4,baramulla district,112175,33.778175,76.576171
jammu-&-kashmir,2021,4,jammu district,378618,33.778175,76.576171
jammu-&-kashmir,2021,4,ganderbal district,27599,33.778175,76.576171
jammu-&-kashmir,2021,4,udhampur district,73525,33.778175,76.576171
jammu-&-kashmir,2021,4,bandipore district,30502,33.778175,76.576171
jammu-&-kashmir,2021,4,reasi district,34767,33.778175,76.576171
jammu-&-kashmir,2021,4,shopian district,20780,33.778175,76.576171
jammu-&-kashmir,2021,4,poonch district,35913,33.778175,76.576171
jammu-&-kashmir,2021,4,kathua district,78693,33.778175,76.576171
jammu-&-kashmir,2021,4,kishtwar district,15389,33.778175,76.576171
jammu-&-kashmir,2021,4,pulwama district,57630,33.778175,76.576171
jammu-&-kashmir,2021,4,ramban district,21283,33.778175,76.576171
jammu-&-kashmir,2021,4,rajouri district,59304,33.778175,76.576171
jammu-&-kashmir,2021,4,kulgam district,39481,33.778175,76.576171
jammu-&-kashmir,2021,4,budgam district,83726,33.778175,76.576171
jammu-&-kashmir,2021,4,anantnag district,75622,33.778175,76.576171
jammu-&-kashmir,2021,4,kupwara district,74136,33.778175,76.576171
jammu-&-kashmir,2022,1,muzaffarabad district,540,33.778175,76.576171
jammu-&-kashmir,2022,1,doda district,35680,33.778175,76.576171
jammu-&-kashmir,2022,1,samba district,70288,33.778175,76.576171
jammu-&-kashmir,2022,1,mirpur district,7177,33.778175,76.576171
jammu-&-kashmir,2022,1,srinagar district,138727,33.778175,76.576171
jammu-&-kashmir,2022,1,baramulla district,119475,33.778175,76.576171
jammu-&-kashmir,2022,1,jammu district,401675,33.778175,76.576171
jammu-&-kashmir,2022,1,ganderbal district,29427,33.778175,76.576171
jammu-&-kashmir,2022,1,udhampur district,78353,33.778175,76.576171
jammu-&-kashmir,2022,1,bandipore district,32427,33.778175,76.576171
jammu-&-kashmir,2022,1,reasi district,37052,33.778175,76.576171
jammu-&-kashmir,2022,1,shopian district,22173,33.778175,76.576171
jammu-&-kashmir,2022,1,poonch district,38315,33.778175,76.576171
jammu-&-kashmir,2022,1,kathua district,83944,33.778175,76.576171
jammu-&-kashmir,2022,1,kishtwar district,16418,33.778175,76.576171
jammu-&-kashmir,2022,1,pulwama district,61306,33.778175,76.576171
jammu-&-kashmir,2022,1,ramban district,22686,33.778175,76.576171
jammu-&-kashmir,2022,1,rajouri district,63232,33.778175,76.576171
jammu-&-kashmir,2022,1,kulgam district,42103,33.778175,76.576171
jammu-&-kashmir,2022,1,budgam district,88994,33.778175,76.576171
jammu-&-kashmir,2022,1,anantnag district,80434,33.778175,76.576171
jammu-&-kashmir,2022,1,kupwara district,78894,33.778175,76.576171
jammu-&-kashmir,2022,2,muzaffarabad district,569,33.778175,76.576171
