State,Transaction_Year,Quarters,District,RegisteredUsers,latitude,longitude
andhra-pradesh,2018,3,west godavari,349782,15.9129,79.739987
andhra-pradesh,2018,3,spsr nellore,322446,15.9129,79.739987
andhra-pradesh,2018,3,prakasam,314899,15.9129,79.739987
andhra-pradesh,2018,4,visakhapatnam,978288,15.9129,79.739987
andhra-pradesh,2018,4,east godavari,694455,15.9129,79.739987
andhra-pradesh,2018,4,krishna,682479,15.9129,79.739987
andhra-pradesh,2018,4,chittoor,665280,15.9129,79.739987
andhra-pradesh,2018,4,guntur,659552,15.9129,79.739987
andhra-pradesh,2018,4,anantapur,510892,15.9129,79.739987
andhra-pradesh,2018,4,kurnool,498582,15.9129,79.739987
andhra-pradesh,2018,4,west godavari,435668,15.9129,79.739987
andhra-pradesh,2018,4,spsr nellore,407495,15.9129,79.739987
andhra-pradesh,2018,4,prakasam,394962,15.9129,79.739987
andhra-pradesh,2019,1,visakhapatnam,1174517,15.9129,79.739987
andhra-pradesh,2019,1,east godavari,839277,15.9129,79.739987
andhra-pradesh,2019,1,krishna,833694,15.9129,79.739987
andhra-pradesh,2019,1,chittoor,812314,15.9129,79.739987
andhra-pradesh,2019,1,guntur,802394,15.9129,79.739987
andhra-pradesh,2019,1,anantapur,612162,15.9129,79.739987
andhra-pradesh,2019,1,kurnool,599422,15.9129,79.739987
andhra-pradesh,2019,1,west godavari,523372,15.9129,79.739987
andhra-pradesh,2019,1,spsr nellore,491908,15.9129,79.739987
andhra-pradesh,2019,1,prakasam,474260,15.9129,79.739987
andhra-pradesh,2019,2,visakhapatnam,1318740,15.9129,79.739987
andhra-pradesh,2019,2,krishna,952300,15.9129,79.739987
andhra-pradesh,2019,2,east godavari,945181,15.9129,79.739987
andhra-pradesh,2019,2,chittoor,925491,15.9129,79.739987
andhra-pradesh,2019,2,guntur,915256,15.9129,79.739987
andhra-pradesh,2019,2,anantapur,695114,15.9129,79.739987
andhra-pradesh,2019,2,kurnool,680118,15.9129,79.739987
andhra-pradesh,2019,2,west godavari,592185,15.9129,79.739987
andhra-pradesh,2019,2,spsr nellore,558303,15.9129,79.739987
andhra-pradesh,2019,2,prakasam,539462,15.9129,79.739987
andhra-pradesh,2019,3,visakhapatnam,1460464,15.9129,79.739987
andhra-pradesh,2019,3,krishna,1066546,15.9129,79.739987
andhra-pradesh,2019,3,east godavari,1057167,15.9129,79.739987
andhra-pradesh,2019,3,chittoor,1032733,15.9129,79.739987
andhra-pradesh,2019,3,guntur,1026418,15.9129,79.739987
andhra-pradesh,2019,3,anantapur,773656,15.9129,79.739987
andhra-pradesh,2019,3,kurnool,755024,15.9129,79.739987
andhra-pradesh,2019,3,west godavari,662102,15.9129,79.739987
andhra-pradesh,2019,3,spsr nellore,619592,15.9129,79.739987
andhra-pradesh,2019,3,prakasam,598568,15.9129,79.739987
andhra-pradesh,2019,4,visakhapatnam,1620235,15.9129,79.739987
andhra-pradesh,2019,4,krishna,1199971,15.9129,79.739987
andhra-pradesh,2019,4,east godavari,1195228,15.9129,79.739987
